match_type,pattern,country_iso,city,county
variety,Quy Hop,VN,,
variety,Victorian,AU,,
variety,Wistow,AU,,
variety,Adoquin Naranja,MX,,
variety,America Negra,MX,,
variety,Blanca Mexicana,MX,,
variety,Blanco Experiencia,MX,,
variety,Blanco Huichapan,MX,,
variety,Blanco Jalisco,MX,,
variety,Blanco Limon,MX,,
variety,Blanco Pachuca,MX,,
variety,Blanco Tinajero,MX,,
variety,Bronce,MX,,
variety,Cafe Alhambra,MX,,
variety,Cafe America,US,,
variety,Cafe Degollado,MX,,
variety,Cafe Galindo,MX,,
variety,Chiluca,MX,,
variety,Corcho,MX,,
variety,Corcho Dorado,MX,,
variety,Crema,MX,,
variety,Diamante Rosa,MX,,
variety,Dorada,MX,,
variety,Fossil,MX,,
variety,Gris Dothi,MX,,
variety,Gris Escorial,MX,,
variety,Gris Huichapan,MX,,
variety,Gris Jalisco,MX,,
variety,Gris Michoacan,MX,,
variety,Gris Moreno,MX,,
variety,Gris Puente Grande,MX,,
variety,Gris Remedios,MX,,
variety,Huixquilucan Rosa,MX,,
variety,Lavander,MX,,
variety,Lavender,MX,,
variety,Lima,MX,,
variety,Luxor,MX,,
variety,Madera,MX,,
variety,Mostaza,MX,,
variety,Naranja,MX,,
variety,Negro Huichapan,MX,,
variety,Negro Rojizo,MX,,
variety,Nuez,MX,,
variety,Piedra Galarza,MX,,
variety,Pinon,MX,,
variety,Pinon Bronze Claro,MX,,
variety,Pinon Bronze Oscuro,MX,,
variety,Pinon Chocolate,MX,,
variety,Pinon Dorado,MX,,
variety,Pinon Rio Blanco,MX,,
variety,Pinon Santa Lucia,MX,,
variety,Riviera Beige,MX,,
variety,Roja,MX,,
variety,Rojo Galindo,MX,,
variety,Rojo Paraiso,MX,,
variety,Rojo Tagui,MX,,
variety,Rosa Durazno,MX,,
variety,Rosa Ermita,MX,,
variety,Rosa Jaspeada,MX,,
variety,Rosa Mexicano,MX,,
variety,Rosa Michoacan,MX,,
variety,Sal Y Pimienta,MX,,
variety,Statuario Vena Fine,IT,,
variety,Tobacco Brown,MX,,
variety,Tobacco Orange,MX,,
variety,Uva,MX,,
variety,Verde,MX,,
variety,Verde Degollado,MX,,
variety,Verde Guanajuato,MX,,
variety,Breccia Blue,SK,,
variety,Green Breccia,EG,,
variety,Western Ivory,US,,
variety,Angelus,BR,,
variety,Black,BR,,
variety,Blue,BR,,
variety,Bonsai,BR,,
variety,Botanic,BR,,
variety,Camellot,BR,,
variety,Cave,BR,,
variety,Cristallo Azur d'Oro,BR,,
variety,Cristallo Cosmopolitan,BR,,
variety,Crystal,BR,,
variety,D'Amore,BR,,
variety,Diamond Blue Rain,BR,,
variety,Diamond Dalmata,BR,,
variety,Diamond Fiore,BR,,
variety,Diamond Fiore Mosaic,BR,,
variety,Diamond Oro,BR,,
variety,Elysian,BR,,
variety,Faberge Gold,BR,,
variety,Frost,BR,,
variety,Harpia,BR,,
variety,Iceberg,BR,,
variety,Iluminato,BR,,
variety,Iluminato Champagne,BR,,
variety,Lake,BR,,
variety,Luminatta,BR,,
variety,Mirage,BR,,
variety,Rose,BR,,
variety,Saint,BR,,
variety,Smoky,BR,,
variety,Translucent Oro,BR,,
variety,Translucent Rose,BR,,
variety,Translucent Vittro,BR,,
variety,Vivaldi,IN,,
variety,Volcanic Black,BR,,
variety,Alba Nuvolato,BR,,
variety,Alba Pietra,BR,,
variety,Avorio,BR,,
variety,Biancatto,BR,,
variety,Bianco Celestia,BR,,
variety,Bianco Stella,BR,,
variety,Bolero,BR,,
variety,Calacatta Celestia,BR,,
variety,Calacatta Columbus,BR,,
variety,Celline,BR,,
variety,Dolce Vita,BR,,
variety,Glaciers Exotic,BR,,
variety,Ludovico,BR,,
variety,Lunar,BR,,
variety,Macchia Vecchia,BR,,
variety,Matarazzo,BR,,
variety,Matterhorn,BR,,
variety,Michelangelo Calacatta,BR,,
variety,Michelangelo Prime,BR,,
variety,Milano Gray,BR,,
variety,Milano Venato PI,BR,,
variety,Nero,BR,,
variety,Oro Imperiale,BR,,
variety,Renoir Blanc,BR,,
variety,Salvatore,BR,,
variety,Satinato,BR,,
variety,Statuario,BR,,
variety,Statuario Quartzo,BR,,
variety,Valentino,BR,,
variety,Velvet White,BR,,
variety,Alps Glitter,IT,,
variety,Altamira,BR,,
variety,Aqua Blue,TR,,
variety,Aqua Grantique,US,,
variety,Arda Gold,BG,,
variety,Arda Grey,BG,,
variety,Auriu De Rodhos,RO,,
variety,Bacau,RO,,
variety,Balaka,BG,,
variety,Bamboos Gray,IT,,
variety,Beola Bianca,IT,,
variety,Beola Bianca Valle,IT,,
variety,Beola Bianca Vogogna,IT,,
variety,Beola Favalle,IT,,
variety,Beola Ghiandonata,IT,,
variety,Beola Grigia,IT,,
variety,Beola Grigia Servezzo,IT,,
variety,Beola Nera,IT,,
variety,Bergell,CH,,
variety,Biasca,CH,,
variety,Blumaggia,CH,,
variety,Bodio Nero,CH,,
variety,Bulgaria,BG,,
variety,Calanca,CH,,
variety,Caroux,FR,,
variety,Cresciano White,CH,,
variety,Da Chainca,PT,,
variety,De St Yrieix,FR,,
variety,Dorato Valmalenco,IT,,
variety,Dovre,NO,,
variety,Gloria,BG,,
variety,Gloria Platin,BG,,
variety,Golden Brown,BG,,
variety,Green Gold,CH,,
variety,Green Miracema,BR,,
variety,Hail,IT,,
variety,Ivailovgrad,BG,,
variety,Kardjali Yellow,BG,,
variety,Leubsdorf,DE,,
variety,Lodrino,CH,,
variety,Lolova,BG,,
variety,Lucerna,BR,,
variety,Maggia Boschetto,CH,,
variety,Maggia Lince,CH,,
variety,Maggia Vellutos,CH,,
variety,Maggia Wild,CH,,
variety,Maltataler,AT,,
variety,Medgidia,RO,,
variety,Miracema,BR,,
variety,Miracema Cinza,BR,,
variety,Miracema Old Gold,BR,,
variety,Muskoka Pink,CA,,
variety,Paradis,DK,,
variety,Parsac,FR,,
variety,Passeier Silver,IT,,
variety,Pink Miracema,BR,,
variety,Pont-Aven,FR,,
variety,Riviera,BR,,
variety,Rovana,CH,,
variety,Rula,SK,,
variety,Saint Just,FR,,
variety,Sesame Seed Grey,AU,,
variety,Silber,BG,,
variety,Silber Grun,CH,,
variety,Silver Grey,BG,,
variety,Stainz Grau,AT,,
variety,Stainz Grau Braun,AT,,
variety,Targu Mures,RO,,
variety,Tauern,AT,,
variety,Turda,RO,,
variety,Valser Grau,CH,,
variety,Valser Gruen,CH,,
variety,Verde Andeer,CH,,
variety,Verde Argento,IT,,
variety,Verde De Creta,RO,,
variety,Verde Italia,IT,,
variety,Verde Spriana,IT,,
variety,Vert De Glacier,CH,,
variety,Vert Evolene,CH,,
variety,White Miracema,BR,,
variety,883 Black,IN,,
variety,Abbey Grey,CA,,
variety,Abbey Rose,CA,,
variety,Abboud,SA,,
variety,Abdoud,SA,,
variety,Aberdeen,GB,,
variety,Abrolhos Crocodile,BR,,
variety,Abrolios Green,BR,,
variety,Absolute Black Ds,IN,,
variety,Absolute Black Nai,IN,,
variety,Absolute Brown,BR,,
variety,Absolute Cream,BR,,
variety,Abstract Brown,BR,,
variety,Abstract Red,IN,,
variety,Abuja Brown,NG,,
variety,Abuja Pepper and Salt,NG,,
variety,Acadian,BR,,
variety,Acadian Night,BR,,
variety,Acapulco Brown,BR,,
variety,Aceuchal,ES,,
variety,Acquarama,BR,,
variety,Addison Black,US,,
variety,Adoni Brown,IN,,
variety,Adonis Flower,CN,,
variety,Aeskered,SE,,
variety,Afo Wavy,NG,,
variety,Africa Ocean Blue,ZA,,
variety,African Canyon,NA,,
variety,African Cream,NA,,
variety,African Fantasy,ZA,,
variety,African Fusion,AO,,
variety,African Harmony,ZA,,
variety,African Ivory,ZA,,
variety,African Lilac,ZA,,
