type,Bluestone,01KTW35VPRKEBQC9QZHBP7WX4M
type,Cantera,01KTW381SQYFBKNZ92FME1ZZZ8
type,Conglomerate,01KTW38EHXCD1JXJ8831V3WGP0
type,Coral Stone,01KTW38T05ST6AG3PYMYQ2YQ67
type,Crystal,01KTW394BN9M9TGKNKGRKRHCGA
type,Dolomite,01KTW39G0JGEQFNAWBHPA2H6M6
type,Gneiss,01KTW39YATMTSJGD1RHSSGG7WY
type,Granite,01KTW3A7PAE554YGG7AMC24E1A
type,Limestone,01KTW3ARV8Q0Q9YE2B3M68W3QZ
type,Marble,01KTW3B2DYEGKGXEXD650EKYFF
type,Onyx,01KTW3BCFK99YG5RTVCV4RFCA6
type,Porphyry,01KTW3C0P8RZS404SYY6TMV4JQ
type,Quartz,01KTW3CBWC67YJ9FQWJ10HMAYE
type,Quartzite,01KTW3CQ8K5E2W2TV8R1FGCR8K
type,Quartzitic Sandstone,01KTW3D2A968VJFG2VHBW26JQN
type,Rhyolite,01KTW3DFKB52DNN5SJAPEENBB5
type,Sandstone,01KTW3DVAYZW45BT333N4BYP18
type,Schist,01KTW3E7AQX9QCJ9E5958G8DVD
type,Semi-Precious Stone,01KTW3EGV79Y8QMEF03CWNFA6R
type,Serpentine,01KTW3PRWVDRQ9V77TN8RG58V5
type,Slate,01KTW3Q35ZGQN7B9ZE810167Y9
type,Soapstone,01KTW3QC1G3WEHYXP10C877HJB
type,Sodalite Syenite,01KTW3QNB4QQ6D4M4BCFGG6TSM
type,Travertine,01KTW3QZC1PSGTGVK1R87FW5EV
type,Tuff,01KTW3RA0NRH0RQ50R1Y896M66
type,Dolomite Marble,01KVNHX4M4RF19ER0P2GRVJSBZ
quality,A,01KTWSF9TGPB26F5V8DDA5SWQP
quality,B,01KTY5F99AZX9213Y24WR6FV8C
quality,C,01KTY5FEF988PB7G2YDQYBJD7H
quality,D,01KTY5FK82R7VJMGDDQR2JPK83
category,Blocks,pcat_01KTY5JQ7YYZW7XASMSHBB3HF0
category,Slabs,pcat_01KTY5MCZTZ4C52G4M8F1Y03XW
category,Tiles,pcat_01KVNKZD2YGBN7416P5CK57KMZ
