variety,stone_type,country_iso,city,county
Aji Ishi,Granite,JP,,
Ajlouni Desert Beige,Limestone,JO,,
Ajmer White,Marble,IN,,
Ak,Basalt,TR,,
Ak White,Granite,VN,,
Akcadag Beige,Marble,TR,,
Akdag Red,Travertine,TR,,
Akhisar,Onyx,TR,,
Akkaya,Sandstone,TR,,
Akmersan Beige,Marble,TR,,
Akmonia Silver,Marble,TR,,
Akoya,Marble,TR,,
Akpinar Beige,Marble,TR,,
Aksai Red,Granite,"CN,KZ",,
Aksalur Gulkurusu,Tuff,TR,,
Aksaray Beta,Granite,TR,,
Aksaray Pink,Granite,TR,,
Aksaray Yaylak,Granite,TR,,
Aktan Grey,Marble,TR,,
Aktash,Granite,"BR,CN,ES,PT,RU",,
Akure Grey,Granite,NG,,
Akushinsky,Limestone,RU,,
Al Abbas Pearls,Marble,EG,,
Al Jamoom,Granite,SA,,
Al Mokhattatt,Marble,YE,,
Al Suwaiq,Marble,OM,,
Ala Carrara,Marble,TR,,
Ala Noscua,Granite,RU,,
Alabama Creme,Marble,US,,
Alabama Rose,Marble,US,,
Alabama Scuro,Marble,US,,
Alabama Vinculus,Marble,US,,
Alabaster,Onyx,"CN,EG,TR",,
Alabastrino,Travertine,"IT,TR",,
Alabastro a Pecorella,Onyx,DZ,,
Alabastro Do Vimioso,Onyx,PT,,
Alabastro Volterra Marrone,Onyx,IT,,
Alabastro Wenge,Onyx,MX,,
Alacakaya Aliento,Marble,TR,,
Alacakaya Cielo,Marble,TR,,
Aladag Grey,Marble,TR,,
Alamo Sola,Granite,BR,,
Alamoot,Granite,IR,,
Alanya Light Emperador,Marble,TR,,
Alanya Portoro,Marble,TR,,
Alasehir Traonyx,Onyx,TR,,
Alaska Red,Granite,IN,,
Alaska Rosa,Granite,"BR,IN",,
Alaska Silver,Travertine,TR,,
Alaska White,Granite,"BR,IN",,
Alaska White,Marble,BR,,
Alba Beige,Marble,TR,,
Alba Calacatta,Marble,BR,,
Alba Kronos,Marble,BR,,
Alba Nuvolato,Dolomite,BR,,
Alba Pietra,Dolomite,BR,,
Albamiel,Sandstone,ES,,
Albany,Granite,BR,,
Albarose,Marble,IR,,
Albella,Marble,TR,,
Alberene,Soapstone,US,,
Alberene Soapstone,Soapstone,US,,
Alberga,Granite,SE,,
Albero Almendra,Granite,ES,,
Albero Blanco,Granite,ES,,
Albero Marrone,Sandstone,BG,,
Albert White,Marble,TR,,
Alberta,Sandstone,CA,,
Alboke,Limestone,GR,,
Alboris,Marble,IT,,
Albtal,Granite,DE,,
Albus,Limestone,PT,,
Alcantara Black,Marble,ES,,
Alcora,Limestone,ES,,
Alden Beige,Marble,TR,,
Aleksandrovsky Black,Marble,RU,,
Alentejo Grey,Granite,PT,,
Alessandro,Marble,GR,,
Alevik,Limestone,EE,,
Alex Grey,Marble,"CN,IT,TN,TR",,
Alex Perlatino,Marble,EG,,
Alexander White,Marble,GR,,
Alexandria,Travertine,TR,,
Alexandrita Quartzite,Quartzite,BR,,
Alexis White,Marble,TR,,
Alfa,Travertine,GR,,
Alfeo,Marble,GR,,
Algeria White,Marble,DZ,,
Algonquin,Limestone,CA,,
Algonquin Grey Green,Granite,CA,,
Algrey,Marble,TR,,
Alhambra,Limestone,"ES,MA,MX",,
Alhambra,Sandstone,"ES,MA,MX",,
Alhar,Marble,YE,,
Alhar Flower,Marble,YE,,
Aliaga,Basalt,TR,,
Aliaga Red,Andesite,TR,,
Alice,Marble,CN,,
Aligator,Quartzite,BR,,
Aligodarz Escato,Marble,"BR,CN,GR,IN,IR,IT,MM,TR,VN",,
Aligodarz Gray,Marble,IR,,
Aligodarz Meshki Sefid,Marble,IR,,
Aligodarz Sefid,Marble,IR,,
Aliki,Marble,GR,,
Alim Blue,Marble,TR,,
Alimoglu Beige,Travertine,TR,,
Alitan,Marble,CN,,
Allaire,Granite,FR,,
Allies Gold,Granite,IN,,
Allium Rossa,Marble,TR,,
Allure,Quartzite,BR,,
Allure Silver,Marble,BR,,
Ally Grey,Marble,CN,,
Ally Magic,Marble,CN,,
Alm Plateado,Travertine,TR,,
Alma Fuoco,Marble,IT,,
Alma Grey,Granite,PT,,
Alma White,Granite,PT,,
Alma Yellow,Granite,PT,,
Almar Green,Onyx,AF,,
Almar White,Onyx,AF,,
Almendra,Marble,MX,,
Almond,Limestone,"HN,TR",,
Almond,Travertine,"HN,TR",,
Almond Jacigua,Granite,BR,,
Almond Pearl Brown,Granite,IN,,
Almond Waltz,Marble,TR,,
Alnoir,Marble,TR,,
Alnwick,Limestone,PT,,
Aloewood,Limestone,GR,,
Alp Snow,Granite,CN,,
Alp White,Onyx,TR,,
Alpaca,Travertine,PE,,
Alpensilber,Granite,CH,,
Alpes,Marble,AL,,
Alpha,Marble,EG,,
Alpi,Marble,TR,,
Alpina,Travertine,TR,,
Alpine,Granite,"BR,CN,IN,TR",,
Alpine,Marble,"BR,CN,IN,TR",,
Alpine Gold,Granite,IN,,
Alpine Star,Granite,BR,,
Alpine Storm,Granite,BR,,
Alpinina,Marble,PT,,
Alps,Granite,BR,,
Alps Glitter,Gneiss,IT,,
Alps White,Marble,"BR,CN",,
Altai White,Marble,RU,,
Altamira,Gneiss,BR,,
Altamira Rosal,Limestone,ES,,
Altius,Marble,GR,,
Altman White,Marble,TR,,
Altvater,Marble,CZ,,
Altvater Dark,Marble,CZ,,
Alun,Marble,RO,,
Alvand Grey,Granite,IR,,
Alvaro,Limestone,CN,,
Alvorada Brown,Granite,BR,,
Alxa Yellow,Granite,CN,,
Amaara,Granite,IN,,
Amabel,Limestone,CA,,
Amadeus,Granite,"FI,IN",,
Amadeus Bluette,Marble,PT,,
Amalgarh,Granite,IN,,
Aman Beige,Marble,TR,,
Amande,Limestone,CN,,
Amanos Black,Marble,TR,,
Amara,Marble,TR,,
Amaranto,Travertine,PE,,
Amarello Arabesco,Granite,BR,,
Amarello Penela,Granite,PT,,
Amarelo Alpendurada,Granite,PT,,
Amarelo Boa Vista,Granite,BR,,
Amarelo Boticas,Granite,PT,,
Amarelo Cardielos,Granite,PT,,
Amarelo De Felgueiras,Granite,PT,,
Amarelo De Figueira,Granite,PT,,
Amarelo De Fonte Arcada,Granite,PT,,
Amarelo Florenca,Granite,"BR,CN,ES,IN,PL,SA,TR,US",,
Amarelo Frades,Granite,PT,,
Amarelo Galho,Granite,PT,,
Amarelo Jaguar,Granite,BR,,
Amarelo Lapa,Granite,"BR,PT",,
Amarelo Macieira,Granite,PT,,
Amarelo Maracuja,Granite,BR,,
Amarelo Moirinte,Granite,PT,,
Amarelo Montemuro,Granite,PT,,
Amarelo Paraiso,Granite,BR,,
Amarelo San Martinho,Granite,PT,,
Amarelo Santo Agostinho,Granite,BR,,
Amarelo Valverde,Limestone,PT,,
Amarelo Vincenza,Granite,BR,,
Amaretto,Granite,BR,,
Amarilla De Ayagaures,Tuff,ES,,
Amarillo Celta,Granite,ES,,
Amarillo Extremadura,Granite,ES,,
Amarillo Fosil,Limestone,ES,,
Amarillo Jara,Granite,ES,,
Amarillo Monumental,Granite,ES,,
Amarillo Parador,Marble,ES,,
Amarillo Platino,Granite,ES,,
Amarillo Vilachan,Granite,ES,,
Amarone,Granite,"BR,CN,IR",,
Amarone Exclusive,Marble,"CN,IR",,
Amarula,Granite,BR,,
Amasya Antique Beige,Marble,TR,,
Amasya Crema Marfil,Marble,TR,,
Amasya Perlato Beige,Marble,TR,,
Amazing Brown,Marble,PK,,
Amazing Green,Marble,IR,,
Amazing Silver,Marble,GR,,
Amazon,Granite,"BR,CN,IN,IT,NG,NO,PK,TR",,
Amazon,Onyx,"BR,IN,PK,TR",,
Amazon,Soapstone,"BR,IN,PK,TR",,
Amazon Black,Granite,"BR,CN",,
Amazon Black,Marble,"BR,CN",,
Amazon Blue,Granite,"BR,CN,MM",,
Amazon Blue,Marble,"BR,CN,MM",,
Amazon Brown,Granite,BR,,
Amazon Coffee,Marble,MX,,
Amazon Grey,Marble,TR,,
Amazon Lilas,Granite,BR,,
Amazon Pink,Granite,IN,,
Amazon White,Marble,TR,,
Amazona Classico,Limestone,PT,,
Amazona Estremadura,Limestone,PT,,
Amazone Beige,Limestone,FR,,
Amazonia,Granite,BR,,
Amazonia Brown,Marble,BR,,
Amazonia Graphite,Slate,BR,,
Amba Cream,Granite,IN,,
Amba White,Granite,IN,,
Ambaji Adanga,Marble,IN,,
Ambaji Apollo Green,Marble,IN,,
Ambaji Panther,Marble,IN,,
Ambar,Marble,ES,,
Ambarino,Marble,ES,,
Ambatomanga,Granite,MG,,
Amber Gold,Granite,"BR,CN,EG,IN,PK",,
Amber Persa,Granite,BR,,
Amber Red,Marble,TR,,
Amber Storm,Granite,BR,,
Amber Yellow,Granite,CN,,
Ambra,Limestone,ES,,
Ambrato,Marble,IT,,
Ambre,Limestone,FR,,
Ambrosia,Marble,"BR,GR",,
Ambrosia Gold,Granite,BR,,
Ambrosia White,Granite,"GR,IN",,
Amc Red,Granite,NG,,
Amedian Beige,Marble,TR,,
Amelas Beige,Marble,TR,,
Amelas Fossil,Limestone,TR,,
Amendoa,Granite,BR,,
Amendoa Capixaba,Granite,BR,,
Amendoa Carioca,Granite,"BR,CN,IN,SE",,
Amendoa Missi,Granite,"BR,CN,IN,SE",,
America Negra,Cantera,MX,,
American Beige,Marble,EG,,
American Gold Brazil,Granite,BR,,
American Grey,Granite,US,,
Amethyst,Amethyst,"BR,MX",,
Amethyst,Onyx,"BR,MX",,
Amethyst,Quartz,"BR,MX",,
Ametista,Onyx,"BR,IN,TZ",,
Ametista Black,Granite,"BR,IN",,
Amherst Gray,Sandstone,US,,
Amirato,Limestone,TR,,
Amman Beige,Marble,TR,,
Amoerial Ghamsari,Marble,IR,,
Amore Bianco,Marble,TR,,
Amotion Gray,Marble,IR,,
Amoy Blue,Marble,CN,,
Ampilly Medium,Limestone,FR,,
Ampilly Tigre,Limestone,FR,,
Amreli Grey,Basalt,IN,,
Amsterdam,Marble,BR,,
Amun Cream,Marble,EG,,
Amvaj,Marble,IR,,
An Gee Red,Granite,CN,,
An Khe Red,Granite,VN,,
Anaconda,Travertine,PE,,
Anadolu Limra,Tuff,TR,,
Anaisian,Marble,IR,,
Ananas,Onyx,MX,,
Anantapur Grey,Granite,IN,,
Anarak,Marble,IR,,
Anasol,Marble,ES,,
Anastacia,Soapstone,BR,,
Anatoli,Granite,BR,,
Anatolia Black,Granite,TR,,
Anatolia Cappuccino,Marble,TR,,
Anatolia Gray,Limestone,"ES,TR",,
Anatolian Gold,Travertine,TR,,
Anatolian Green,Granite,TR,,
Anatolian Red,Marble,"AU,CN,GR,IN,IR,IT,NA,OM,TR,VN",,
Anatolian Sugar,Marble,TR,,
Ancaster Blue,Limestone,GB,,
Ancaster Weatherbed,Limestone,GB,,
Ancient Brown,Granite,SA,,
Andalus,Marble,OM,,
Andean Landscape,Marble,PE,,
Andes,Quartzite,IN,,
Andes Black,Granite,BR,,
Andes Grey,Marble,CN,,
Andhi Blue Moon,Marble,IN,,
Andhi Modern Art,Marble,IN,,
Andino Bruno,Travertine,PE,,
Andino Dark,Travertine,PE,,
Andromeda,Granite,"IN,LK",,
Andromeda Cream,Granite,IN,,
Andromeda White,Granite,"BR,CN,IN,LK,SE,VN",,
Anemone White,Travertine,IR,,
Ang Creama Nova,Marble,TR,,
Angel Beige,Marble,"CN,TR",,
Angel Pink,Alabaster,"US,VE",,
Angel Pink,Granite,"US,VE",,
Angel White,Granite,"BR,IN,TR",,
Angel White,Marble,"BR,IN,TR",,
Angelica,Travertine,PE,,
Angellus,Granite,BR,,
Angelus,Crystal,BR,,
Angers,Slate,FR,,
Anglesey,Marble,GB,,
Anglesey Vein,Marble,GB,,
Angola Cream,Limestone,AO,,
Angola Cream,Marble,AO,,
Angola Grey,Limestone,AO,,
Angola Rubin,Granite,AO,,
Angola Silver,Granite,AO,,
Angora,Andesite,TR,,
Angora,Marble,TR,,
Angora,Travertine,TR,,
Angoran Beige,Travertine,"IR,TR",,
Angra Brown,Granite,BR,,
Angra Red,Granite,BR,,
Anhai White,Granite,CN,,
Anhui Ice Blue,Granite,CN,,
Ani,Tuff,AM,,
Anji Lotus Flower,Granite,CN,,
Anji Red,Granite,CN,,
Anjos Gold,Granite,BR,,
Anka Beige,Marble,TR,,
Ankara,Andesite,TR,,
Ankara Fume,Granite,TR,,
Ankara Grey,Marble,TR,,
Ankele,Marble,FI,,
Ankor Galaxy,Granite,KH,,
Ann Twyford,Sandstone,GB,,
Anrochter,Limestone,DE,,
Ansari,Limestone,SY,,
Anshan Red,Granite,CN,,
Anstrude Roche Claire,Limestone,FR,,
Ant,Granite,TR,,
Antalya,Limestone,"FR,HR,MX,PT,TN,TR,US",,
Antalya Beige,Limestone,"TN,TR",,
Antalya Sultan Beige,Marble,TR,,
Antartide,Marble,BR,,
Antena,Granite,XK,,
Anthill,Travertine,PE,,
Anthra Black,Quartzite,BR,,
Anthracite Black,Granite,"BR,IT",,
Anthracite Black,Marble,"BR,IT",,
Anthracite Gold,Marble,TR,,
Antibes,Quartzite,BR,,
Antico Cream,Granite,IN,,
Antico Pearl,Granite,IN,,
Antico Silver,Granite,IN,,
Antico Traonyx,Travertine,IR,,
Antigone,Marble,GR,,
Antiguo,Travertine,MX,,
Antik Nero Gabbro,Granite,UA,,
Antilop,Marble,TR,,
Antiq Rosal,Sandstone,ES,,
Antique,Travertine,"CN,TR",,
Antique Beige,Marble,TR,,
Antique Blue,Agate,"BR,CN,NO,PK",,
Antique Blue,Granite,"BR,CN,NO,PK",,
Antique Blue Jumbo,Agate,BR,,
Antique Bronze,Travertine,TR,,
Antique Brown,Onyx,"CN,TR",,
Antique Crimson,Tuff,TR,,
Antique Fantasy,Granite,BR,,
Antique Fonce,Marble,NO,,
Antique Gold,Limestone,"ES,IL,TR",,
Antique Gold,Marble,"BR,EG,ES,IL,IN,IT,TN,TR",,
Antique Green,Granite,"GT,IN,IR,PK,TR,ZA",,
Antique Green,Marble,"BR,CN,GR,GT,IN,IR,IT,MM,PK,TR,VN,ZA",,
Antique Marron,Granite,"AO,BR,FI,IN,IR,NO",,
Antique Verdatre,Marble,FR,,
Antique White,Granite,"BR,IN,PL,TR",,
Antique White,Tuff,"BR,IN,PL,TR",,
Antique Yellow,Tuff,TR,,
Antique Yellow White,Tuff,TR,,
Antofagasta Azul,Onyx,AR,,
Antrasit,Marble,TR,,
Anubis,Quartzite,BR,,
Anxi Red,Granite,"CN,NG,US",,
Anzola,Granite,IT,,
Aobao Black,Granite,CN,,
Aoki Black,Granite,JP,,
Aomari Brown,Marble,CN,,
Apache Red,Granite,"BR,IN",,
Apenino,Marble,TR,,
Aphrodisias Cloudy,Marble,TR,,
Apokoronas,Travertine,GR,,
Apollion Black,Marble,TR,,
Apollo,Granite,BR,,
Apollo Beige,Marble,TR,,
Apollo Storm,Granite,BR,,
Apollonia Beige,Travertine,TR,,
Appalachian Green Danby,Marble,US,,
Appaloosa,Quartzite,BR,,
Appenino,Marble,TR,,
Apple Ash,Marble,"CN,TR",,
Apple Grey,Sandstone,CN,,
Apple White,Granite,IN,,
Applestone,Limestone,TR,,
Apricena Bronzetto,Marble,IT,,
Apricot,Travertine,"IN,TR,UA",,
Apricot Blossom,Granite,CN,,
Apuan Fantasy,Marble,IT,,
Aqua Blue,Gneiss,"IN,IR,TR,US",,
Aqua Blue,Granite,"IN,IR,TR,US",,
Aqua Blue,Marble,"IN,IR,TR,US",,
Aqua Blue,Onyx,"IN,IR,TR,US",,
Aqua Grantique,Gneiss,US,,
Aqua Luna,Marble,TR,,
Aqua Rose,Slate,CN,,
Aqua Shadow,Marble,TR,,
Aqua Shadow Dark,Marble,TR,,
Aqualina,Travertine,TR,,
Aquarela,Marble,BR,,
Aquarela Gold,Granite,BR,,
Aquarium Thala,Marble,"TN,TR",,
Aquarrella Green,Granite,IR,,
Aqueous,Granite,BR,,
Aqueous Venato,Granite,BR,,
Aqueralla Red,Granite,IR,,
Aquia Creek,Sandstone,US,,
Aquila Red,Granite,FI,,
Arabella,Marble,TR,,
Arabescato,Marble,"IT,TR",,
Arabescato Arni,Marble,IT,,
Arabescato Breccia,Marble,TR,,
Arabescato Carcariana,Marble,IT,,
Arabescato Cervaiole,Marble,IT,,
Arabescato Ducale,Marble,IT,,
Arabescato Faniello,Marble,IT,,
Arabescato Garfagnana,Marble,IT,,
Arabescato Greco Gold,Marble,GR,,
Arabescato Harmony,Marble,IT,,
Arabescato Meraviglioso,Marble,IT,,
Arabescato Mossa,Marble,IT,,
Arabescato Orobico Gold,Marble,IT,,
Arabescato Orobico Grigio,Marble,"CN,IT,PT,TR",,
Arabescato Piana,Marble,IT,,
Arabescato Trambiserra,Marble,IT,,
Arabescato Violet,Marble,"IR,IT,TR",,
Arabesco Versilia,Marble,IT,,
Arabescus White,Marble,BR,,
Arabian Black,Granite,CN,,
Aragonite Brown,Marble,IT,,
Arahite Blue,Marble,TR,,
Araks,Travertine,AM,,
Aram Brown,Granite,IR,,
Aramis Bronze,Marble,"BR,CN,ID,IN,IR,IT,MK,NO,OM,TR,VN",,
Aran Cream,Granite,BR,,
Aran White,Marble,TR,,
Arana Maroon,Marble,TR,,
Arana Marron Spider,Marble,TR,,
Arancio Di Selva,Marble,IT,,
Arandis,Granite,NA,,
Arany,Granite,BR,,
Araras Gold,Granite,BR,,
Ararat Gold,Travertine,"AM,TR",,
Ararat Noce,Travertine,"AM,TR",,
Araxova,Marble,GR,,
Arbatas,Granite,KZ,,
Arbatash,Porphyry,KG,,
Arboga,Granite,SE,,
Arbon,Limestone,RU,,
Arcadia,Granite,IN,,
Arcadia Grey,Marble,"GR,TR",,
Archida,Marble,IR,,
Archipelago Red,Granite,FI,,
Arcka Yellow,Granite,IR,,
Arco Iris,Onyx,"MX,TZ",,
Arco Iris Onyx,Onyx,"MX,TZ",,
Arcobaleno,Marble,"IR,PK,TR",,
Arcobaleno,Onyx,"IR,PK,TR",,
Arctic,Semi-Precious Stone,BR,,
Arctic Black Norway,Granite,NO,,
Arctic Black Star,Granite,FI,,
Arctic Blue,Marble,CN,,
Arctic Blue Sky,Marble,CN,,
Arctic Cream,Granite,"BR,IN",,
Arctic Fox,Marble,"AO,BR,CN,IN,NA,TR",,
Arctic Gold,Granite,"BR,IN",,
Arctic Grey,Granite,"CA,TR",,
Arctic Grey,Marble,"CA,CO,FR,ID,IN,IR,IT,TN,TR",,
Arctic Ocean,Marble,CA,,
Arctic Pink,Granite,NO,,
Arctic Polar White,Granite,BR,,
Arctic Quartzite,Quartzite,FI,,
Arctic Rainbow,Granite,CA,,
Arctic Red,Granite,FI,,
Arctic Silver,Limestone,TR,,
Arda Gold,Gneiss,BG,,
Arda Grey,Gneiss,BG,,
Ardal Banaii,Marble,IR,,
Arelia Venato,Marble,TR,,
Arena Clara,Limestone,MX,,
Arena Tempisque,Marble,CR,,
Arenaria Grigio Perla,Sandstone,IT,,
Arenarico,Granite,IT,,
Arendus White,Granite,IN,,
Ares,Granite,BR,,
Ares Acqua,Marble,GR,,
Ares Brown,Marble,TR,,
Ares Titania Grey,Marble,"GR,TR",,
Areti White,Marble,"GR,TR",,
Areti White Dolomite,Dolomite,GR,,
Argalasti White,Marble,GR,,
Argent,Travertine,TR,,
Argent Grey,Marble,TR,,
Argent Violetta,Marble,"IR,IT,TR",,
Argentina Black,Slate,AR,,
Argentine Porphyry,Porphyry,AR,,
Argento,Onyx,"MX,TR",,
Argiroupoli,Travertine,GR,,
Argolis Red,Marble,GR,,
Argos Black Breccia,Marble,GR,,
Argos Black Veiny,Marble,GR,,
Arhaby,Marble,YE,,
Ari Beige,Marble,TR,,
Ariana Silk,Marble,IR,,
Ariassos,Marble,TR,,
Aridea,Travertine,GR,,
Aries White,Granite,BR,,
Arihant Black,Granite,IN,,
Arinea,Travertine,GR,,
Arini Cream,Travertine,MK,,
Arini Noce,Travertine,MK,,
Aris,Marble,"CN,GR",,
Aris Breccia,Marble,CN,,
Aris Pink,Marble,CN,,
Aris Silver,Marble,TR,,
Aristo White,Granite,IN,,
Ariston Gl,Marble,GR,,
Ariston V,Marble,GR,,
Arizona,Granite,"BR,IN,MX,TR",,
Arizona 3d Grey,Granite,IN,,
Arizona Blue,Granite,IN,,
Arizona Brown,Granite,IN,,
Arizona Fantasy,Travertine,TR,,
Arizona Forest Light,Granite,IN,,
Arkadia,Marble,GR,,
Arlesienne,Marble,IT,,
Armanazi,Limestone,SY,,
Armani,Marble,TR,,
Armani Black,Granite,BR,,
Armani Brown,Marble,"AR,CA,CN,ES,GR,IR,MY,PK,TR,VN",,
Armani Brown Fossil,Marble,TR,,
Armani Silver,Marble,"AR,AU,BR,CN,ID,IN,IT,TR",,
Armani White,Granite,CN,,
